small_step_id,exception_type,status,actual_count,expected_count,reason,owner,review_status,notes
"Year 10_14-15_Spring_Foundation_Interpret and represent data_7_Sampling",incomplete_recommendations,active,1,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 10_14-15_Spring_Higher_Interpret and represent data_7_Sampling",incomplete_recommendations,active,1,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 11_15-16_Autumn_Foundation_Area and volume_8_Surface area of a pyramid (E)",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 11_15-16_Autumn_Higher_Similarity and congruence_5_Areas of similar shapes",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 11_15-16_Spring_Foundation_Rates_3_Interpret distance-time graphs",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 11_15-16_Spring_Foundation_Rates_4_Draw distance-time graphs",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 11_15-16_Spring_Higher_Rates_2_Distance-time graphs",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 6_10-11_Spring__Statistics_4_Pie charts with percentages",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 6_10-11_Summer__Shape_8_Angles in polygons",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 7_11-12_Spring__Graphing data_10_Non-linear relationships",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 7_11-12_Summer__Speed distance and time_10_Calculate speed from a distance-time graph  E",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 7_11-12_Summer__Speed distance and time_8_Interpret distance-time graphs",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 7_11-12_Summer__Speed distance and time_9_Draw distance-time graphs",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 9_13-14_Autumn__Rates_2_Distance–time graphs",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
"Year 9_13-14_Summer__Sets and probability_9_"""" Independent events",incomplete_recommendations,active,2,3,"Few apposite videos currently available online; accepted QA exception.",,accepted,"Handle in later manual QA or future corpus expansion."
